cluster_id,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_Mon,day_Tue,day_Wed,day_Thu,day_Fri,day_Sat,day_Sun,window_afternoon,window_early_morning,window_evening,window_late_night,window_morning,window_night,peak_hour,peak_day,rush_hour_ratio,is_night_dominant,is_weekend_dominant
0,0.0476,0.0208,0.024,0.0187,0.0669,0.1118,0.1053,0.1089,0.0929,0.036,0.0025,0.0021,0.0008,0.0001,0.0,0.0001,0.0,0.0,0.0031,0.0321,0.09,0.1108,0.065,0.0604,0.1354,0.1451,0.1341,0.1291,0.1396,0.1355,0.1811,8.0,3016.0,901.0,1283.0,292.0,1701.0,5,Sun,0.273,0,0
1,0.0328,0.0419,0.0291,0.0146,0.0893,0.1056,0.2568,0.1512,0.0565,0.0364,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0182,0.0419,0.0328,0.0346,0.0255,0.0729,0.0455,0.1093,0.2532,0.1712,0.1457,0.2022,0.0,313.0,50.0,114.0,21.0,51.0,6,Thu,0.2933,0,0
2,0.0744,0.0591,0.0923,0.1029,0.113,0.119,0.083,0.038,0.0217,0.0096,0.0012,0.0013,0.0007,0.0002,0.0,0.0003,0.0019,0.0034,0.0056,0.0378,0.0344,0.0583,0.0693,0.0726,0.1319,0.1417,0.1353,0.1326,0.1394,0.1485,0.1706,531.0,45483.0,14122.0,76756.0,2105.0,34776.0,5,Sun,0.1161,1,0
3,0.0261,0.0159,0.0553,0.0368,0.0529,0.101,0.0921,0.0528,0.0277,0.0048,0.0009,0.0032,0.0011,0.0007,0.0013,0.0023,0.0141,0.0349,0.1261,0.1801,0.0948,0.0286,0.0232,0.0232,0.1119,0.1234,0.1452,0.1434,0.1361,0.1533,0.1867,109.0,1530.0,2437.0,1046.0,50.0,420.0,19,Sun,0.4264,0,0
4,0.0669,0.0769,0.0234,0.0368,0.107,0.1973,0.1572,0.1271,0.0301,0.0033,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0569,0.0435,0.0602,0.0836,0.1003,0.1438,0.1371,0.1204,0.1338,0.2809,2.0,153.0,2.0,93.0,1.0,48.0,5,Sun,0.1605,0,0
5,0.0447,0.0403,0.111,0.0202,0.0634,0.1686,0.0908,0.0951,0.0965,0.0317,0.0086,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.0519,0.0476,0.0562,0.036,0.2911,0.0562,0.0951,0.0965,0.0317,0.121,0.3084,0.0,313.0,56.0,194.0,34.0,97.0,5,Sun,0.2521,0,0
6,0.1209,0.0666,0.1009,0.1031,0.0784,0.0651,0.0375,0.016,0.0143,0.0048,0.0002,0.0003,0.0001,0.0,0.0,0.0,0.0003,0.0,0.0002,0.0106,0.0367,0.0789,0.133,0.132,0.114,0.1842,0.2063,0.2014,0.1671,0.0929,0.0341,9.0,2683.0,961.0,9489.0,108.0,6945.0,22,Wed,0.0459,1,0
7,0.1996,0.1255,0.1464,0.1141,0.1008,0.0456,0.0133,0.019,0.0152,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0114,0.0228,0.0951,0.0856,0.038,0.135,0.2548,0.1673,0.1502,0.1369,0.1179,0.0,49.0,8.0,361.0,1.0,107.0,0,Wed,0.0399,1,0
8,0.1227,0.1336,0.0578,0.0325,0.0722,0.1805,0.1697,0.1011,0.0253,0.0,0.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289,0.0325,0.0325,0.2347,0.2383,0.0794,0.0975,0.1047,0.0758,0.1697,0.0,132.0,0.0,116.0,3.0,26.0,5,Tue,0.1264,1,0
9,0.24,0.0,0.0,0.0,0.36,0.16,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.04,0.44,0.0,0.4,0.0,7.0,0.0,15.0,0.0,3.0,4,Fri,0.08,1,0
