vehicle_number,total_violations,first_violation,last_violation,unique_zones,top_zone,vehicle_type,top_violation_type,span_days,violations_per_month,rank
FKN00GL4424,55,2023-11-16,2024-03-30,1,Kodigehalli,SCOOTER,WRONG PARKING,136,12.13,1
FKN00GL3514,42,2023-11-11,2024-03-14,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,125,10.08,2
FKN00GL9771,41,2023-11-09,2024-04-04,1,Upparpet,CAR,NO PARKING,148,8.31,3
FKN00GL17863,41,2023-11-13,2024-03-08,2,Upparpet,CAR,NO PARKING,117,10.51,4
FKN00GL2906,35,2023-11-28,2024-03-27,2,Rajajinagar,CAR,WRONG PARKING,121,8.68,5
FKN00GL15265,34,2023-11-12,2024-04-04,1,Upparpet,MOTOR CYCLE,NO PARKING,145,7.03,6
FKN00GL14092,34,2023-11-16,2024-02-23,1,HAL Old Airport,SCOOTER,NO PARKING,100,10.2,7
FKN00GL1875,30,2023-11-12,2024-03-15,1,Shivajinagar,MOTOR CYCLE,NO PARKING,125,7.2,8
FKN00GL19337,30,2024-01-04,2024-04-06,1,Shivajinagar,SCOOTER,NO PARKING,94,9.57,9
FKN00GL9852,29,2023-11-11,2024-03-30,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,141,6.17,10
FKN00GL1118,28,2023-11-19,2024-03-29,1,Malleshwaram,CAR,NO PARKING,132,6.36,11
FKN00GL1175,28,2023-11-10,2024-04-06,1,Upparpet,CAR,NO PARKING,149,5.64,12
FKN00GL15753,28,2023-11-11,2024-04-08,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,150,5.6,13
FKN00GL8041,27,2023-12-27,2024-03-19,1,Kodigehalli,SCOOTER,WRONG PARKING,84,9.64,14
FKN00GL8564,27,2023-11-16,2024-04-01,1,Shivajinagar,SCOOTER,NO PARKING,138,5.87,15
FKN00GL24601,26,2024-02-05,2024-04-08,1,Upparpet,MOTOR CYCLE,NO PARKING,64,12.19,16
FKN00GL8361,26,2023-11-14,2024-03-25,1,Upparpet,SCOOTER,NO PARKING,133,5.86,17
FKN00GL0420,26,2023-11-15,2024-03-24,1,Vijayanagara,SCOOTER,NO PARKING,131,5.95,18
FKN00GL20818,26,2024-01-04,2024-04-03,1,Upparpet,SCOOTER,NO PARKING,91,8.57,19
FKN00GL7963,25,2023-12-16,2024-03-22,2,Kodigehalli,SCOOTER,WRONG PARKING,98,7.65,20
FKN00GL25480,25,2023-11-15,2024-04-06,1,Upparpet,SCOOTER,NO PARKING,144,5.21,21
FKN00GL32387,25,2023-11-10,2024-04-07,1,Upparpet,CAR,NO PARKING,150,5.0,22
FKN00GL1498,25,2023-11-18,2024-04-06,1,Kodigehalli,MOTOR CYCLE,NO PARKING,141,5.32,23
FKN00GL9182,24,2023-11-17,2024-03-10,2,Vijayanagara,SCOOTER,NO PARKING,115,6.26,24
FKN00GL2445,24,2023-11-18,2024-03-26,1,HAL Old Airport,MOTOR CYCLE,PARKING IN A MAIN ROAD,130,5.54,25
FKN00GL2819,24,2023-12-07,2024-02-26,1,Shivajinagar,SCOOTER,NO PARKING,82,8.78,26
FKN00GL2692,24,2023-11-17,2024-03-12,1,Vijayanagara,SCOOTER,WRONG PARKING,117,6.15,27
FKN00GL0395,24,2023-11-15,2024-04-03,2,Upparpet,SCOOTER,NO PARKING,141,5.11,28
FKN00GL0635,24,2023-12-16,2024-03-28,1,HAL Old Airport,SCOOTER,WRONG PARKING,104,6.92,29
FKN00GL17388,23,2023-11-10,2024-01-20,2,High ground,SCOOTER,WRONG PARKING,72,9.58,30
FKN00GL0333,23,2023-11-11,2024-03-29,1,Shivajinagar,SCOOTER,NO PARKING,140,4.93,31
FKN00GL6355,23,2023-11-17,2024-04-03,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,139,4.96,32
FKN00GL21720,23,2023-11-11,2024-04-04,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,146,4.73,33
FKN00GL13920,23,2023-11-11,2024-03-18,2,Shivajinagar,SCOOTER,WRONG PARKING,129,5.35,34
FKN00GL6443,23,2024-01-25,2024-02-10,1,Kodigehalli,MOTOR CYCLE,NO PARKING,17,40.59,35
FKN00GL2817,23,2023-11-11,2024-03-17,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,128,5.39,36
FKN00GL22956,23,2023-11-15,2024-02-06,1,High ground,SCOOTER,WRONG PARKING,84,8.21,37
FKN00GL12732,22,2023-11-12,2024-02-18,2,Shivajinagar,PASSENGER AUTO,WRONG PARKING,99,6.67,38
FKN00GL18629,22,2023-12-25,2024-04-08,1,Kodigehalli,SCOOTER,WRONG PARKING,106,6.23,39
FKN00GL16746,22,2023-12-02,2024-03-04,4,Hulimavu,SCHOOL VEHICLE,WRONG PARKING,94,7.02,40
FKN00GL104980,22,2023-11-14,2024-01-09,2,Shivajinagar,SCOOTER,NO PARKING,57,11.58,41
FKN00GL2850,22,2023-11-17,2024-03-28,1,Vijayanagara,MOTOR CYCLE,WRONG PARKING,133,4.96,42
FKN00GL7910,22,2023-11-12,2024-03-11,2,Upparpet,SCOOTER,NO PARKING,121,5.45,43
FKN00GL4303,22,2023-11-16,2024-04-05,1,HAL Old Airport,SCOOTER,NO PARKING,142,4.65,44
FKN00GL5362,22,2023-11-12,2024-03-29,1,HAL Old Airport,CAR,NO PARKING,139,4.75,45
FKN00GL9334,22,2023-11-21,2024-03-27,1,Shivajinagar,SCOOTER,NO PARKING,128,5.16,46
FKN00GL14399,22,2024-01-05,2024-04-04,2,Shivajinagar,SCOOTER,NO PARKING,91,7.25,47
FKN00GL35922,22,2023-11-17,2024-03-28,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,133,4.96,48
FKN00GL6310,22,2023-11-15,2024-04-04,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,142,4.65,49
FKN00GL9526,22,2023-12-14,2024-02-26,1,Shivajinagar,SCOOTER,NO PARKING,75,8.8,50
FKN00GL6353,22,2023-11-14,2024-04-06,2,Shivajinagar,SCOOTER,NO PARKING,145,4.55,51
FKN00GL6334,21,2023-11-18,2024-04-03,1,Kodigehalli,SCOOTER,NO PARKING,138,4.57,52
FKN00GL0907,21,2024-01-01,2024-03-15,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,75,8.4,53
FKN00GL0636,21,2023-12-13,2024-04-05,1,HAL Old Airport,SCOOTER,WRONG PARKING,115,5.48,54
FKN00GL6006,21,2023-12-08,2024-04-08,1,Upparpet,SCOOTER,NO PARKING,123,5.12,55
FKN00GL11475,21,2023-11-10,2024-04-06,1,Upparpet,CAR,NO PARKING,149,4.23,56
FKN00GL3743,21,2023-11-27,2024-03-31,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,126,5.0,57
FKN00GL3531,21,2023-11-15,2024-04-06,1,HAL Old Airport,SCOOTER,NO PARKING,144,4.38,58
FKN00GL22258,21,2023-11-19,2024-03-30,1,Shivajinagar,PASSENGER AUTO,NO PARKING,133,4.74,59
FKN00GL17172,21,2023-11-11,2024-03-10,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,121,5.21,60
FKN00GL18794,21,2023-11-12,2024-03-29,1,Upparpet,CAR,NO PARKING,139,4.53,61
FKN00GL11028,21,2023-11-15,2024-02-21,1,Byatarayanapura,SCOOTER,WRONG PARKING,99,6.36,62
FKN00GL22063,21,2024-02-06,2024-03-23,1,Kodigehalli,MOTOR CYCLE,WRONG PARKING,47,13.4,63
FKN00GL8043,21,2023-11-18,2024-03-22,1,Kodigehalli,SCOOTER,NO PARKING,126,5.0,64
FKN00GL8015,21,2024-02-03,2024-03-30,1,Kodigehalli,MOTOR CYCLE,WRONG PARKING,57,11.05,65
FKN00GL23079,21,2023-11-10,2024-04-03,1,Rajajinagar,CAR,WRONG PARKING,146,4.32,66
FKN00GL18528,21,2024-02-10,2024-03-22,1,Kodigehalli,SCOOTER,WRONG PARKING,42,15.0,67
FKN00GL1199,20,2023-11-14,2024-04-03,1,Shivajinagar,MOTOR CYCLE,NO PARKING,142,4.23,68
FKN00GL18309,20,2023-11-24,2024-04-02,2,Shivajinagar,PASSENGER AUTO,NO PARKING,131,4.58,69
FKN00GL3688,20,2024-01-08,2024-03-28,2,Kodigehalli,SCOOTER,WRONG PARKING,81,7.41,70
FKN00GL25402,20,2023-11-16,2024-04-08,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,145,4.14,71
FKN00GL7760,20,2023-11-11,2024-04-01,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,143,4.2,72
FKN00GL7998,20,2023-11-13,2024-03-20,1,Vijayanagara,CAR,WRONG PARKING,129,4.65,73
FKN00GL18074,20,2024-01-02,2024-03-29,1,Shivajinagar,SCOOTER,WRONG PARKING,88,6.82,74
FKN00GL24467,20,2024-01-09,2024-03-31,1,Kodigehalli,SCOOTER,NO PARKING,83,7.23,75
FKN00GL24261,20,2023-11-13,2024-04-01,1,Shivajinagar,SCOOTER,NO PARKING,141,4.26,76
